Sep=,
iShares Ibovespa Fundo de Índice
Fund Holdings as of,"20 mai 2021"
Inception Date,"28 nov 2008"
Total Net Assets ($000s),"13.593.294.302,58"
,"115.150.000,00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"TIMS3","TIM SA","0,43","11,97","4.875.283","58.357.138","58.357.137,51","Communication","BN71RB6","BRTIMSACNOR5","XBSP","Brasil","BRL","1,00"
"YDUQ3","YDUQS PARTICIPACOES SA","0,42","31,33","1.816.049","56.896.815","56.896.815,17","Consumo discricionário","BJGV3C2","BRYDUQACNOR3","XBSP","Brasil","BRL","1,00"
"BRML3","BR MALLS PARTICIPACOES SA","0,41","11,08","5.086.533","56.358.786","56.358.785,64","Imobiliário","B1RYG58","BRBRMLACNOR9","XBSP","Brasil","BRL","1,00"
"SULA11","SUL AMERICA UNITS SA","0,40","32,02","1.715.904","54.943.246","54.943.246,08","Produtos financeiros","B27WYK0","BRSULACDAM12","XBSP","Brasil","BRL","1,00"
"TAEE11","TRANSMISSORA ALIANCA ENERGIA ELETR","0,38","39,38","1.320.948","52.018.932","52.018.932,24","Serviços públicos","B1G8KX7","BRTAEECDAM10","XBSP","Brasil","BRL","1,00"
"LCAM3","COMPANHIA DE LOCACAO DAS AMERICAS","0,38","26,29","1.951.640","51.308.616","51.308.615,60","Bens Industriais","B82CQN4","BRLCAMACNOR3","XBSP","Brasil","BRL","1,00"
"FLRY3","FLEURY SA","0,37","27,64","1.832.264","50.643.777","50.643.776,96","Cuidados de saúde","B4X4D29","BRFLRYACNOR5","XBSP","Brasil","BRL","1,00"
"CRFB3","ATACADAO CARREFOUR SA","0,36","20,68","2.361.650","48.838.922","48.838.922,00","Bens de primeira necessidade","BF7LBH4","BRCRFBACNOR2","XBSP","Brasil","BRL","1,00"
"QUAL3","QUALICORP SA","0,34","26,99","1.708.613","46.115.465","46.115.464,87","Cuidados de saúde","B4LHBQ0","BRQUALACNOR6","XBSP","Brasil","BRL","1,00"
"IRBR3","IRB BRASIL RESSEGUROS SA","0,34","6,09","7.568.535","46.092.378","46.092.378,15","Produtos financeiros","BYZ6D56","BRIRBRACNOR4","XBSP","Brasil","BRL","1,00"
